ticket_id,customer_id,region_label,timestamp,category,sentiment,issue_text
TCK-10057,CUST-S10063,south-region,2026-08-16T15:28:00Z,fulfillment,-0.68,Warehouse delay pushed my delivery window back a week
TCK-10058,GUEST-700479,south-region,2026-08-15T16:47:00Z,fulfillment,-0.68,Warehouse delay pushed my delivery window back a week
TCK-10059,CUST-S10087,south-region,2026-08-15T12:26:00Z,delivery,-0.7,"Order still not shipped, tracking hasn't updated in 5 days"
TCK-10060,GUEST-914688,west-region,2026-08-24T08:56:00Z,complaint,-0.55,Support response time has gotten worse recently
TCK-10061,CUST-W10018,west-region,2026-08-24T13:27:00Z,complaint,-0.55,Support response time has gotten worse recently
TCK-10062,CUST-W10122,west-region,2026-08-26T17:36:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10063,CUST-W10210,west-region,2026-08-27T08:09:00Z,product,-0.6,"Considering cancelling my subscription, service feels slower lately"
TCK-10064,CUST-W10137,west-region,2026-08-25T14:20:00Z,complaint,-0.55,Support response time has gotten worse recently
TCK-10065,CUST-W10211,west-region,2026-08-25T14:13:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10066,CUST-W10139,west-region,2026-08-27T10:02:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10067,CUST-W10123,west-region,2026-08-24T09:37:00Z,product,-0.6,"Considering cancelling my subscription, service feels slower lately"
TCK-10068,CUST-W10102,west-region,2026-08-27T16:21:00Z,complaint,-0.55,Support response time has gotten worse recently
TCK-10069,CUST-W10209,west-region,2026-08-24T11:56:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10070,CUST-W10044,west-region,2026-08-25T12:30:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10071,CUST-W10000,west-region,2026-08-25T09:54:00Z,product,-0.1,Asking about restock date for a home goods item
TCK-10072,CUST-W10048,west-region,2026-08-25T11:03:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10073,CUST-W10033,west-region,2026-08-25T12:58:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10074,CUST-W10026,west-region,2026-08-24T08:59:00Z,product,-0.1,Asking about restock date for a home goods item
TCK-10075,CUST-W10128,west-region,2026-08-24T09:47:00Z,product,-0.6,"Considering cancelling my subscription, service feels slower lately"
TCK-10076,GUEST-566833,west-region,2026-08-27T15:57:00Z,complaint,-0.55,Support response time has gotten worse recently
TCK-10077,CUST-W10160,west-region,2026-08-26T14:13:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10078,CUST-W10147,west-region,2026-08-10T16:19:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10079,CUST-W10081,west-region,2026-08-18T10:35:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10080,GUEST-642696,west-region,2026-08-12T15:40:00Z,complaint,-0.55,Support response time has gotten worse recently
TCK-10081,CUST-W10124,west-region,2026-08-11T08:39:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10082,GUEST-504474,west-region,2026-08-10T17:18:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10083,GUEST-831383,west-region,2026-08-11T14:26:00Z,delivery,-0.5,Delivery is taking longer than usual this week
TCK-10084,GUEST-961495,west-region,2026-08-12T14:58:00Z,product,-0.6,"Considering cancelling my subscription, service feels slower lately"
TCK-10085,CUST-W10136,west-region,2026-08-09T16:40:00Z,complaint,-0.55,Support response time has gotten worse recently
TCK-10086,GUEST-157770,west-region,2026-08-16T14:37:00Z,product,0.1,Question about return policy for electronics
TCK-10087,CUST-W10096,west-region,2026-08-17T17:15:00Z,product,-0.6,"Considering cancelling my subscription, service feels slower lately"
TCK-10088,CUST-W10204,west-region,2026-08-16T13:20:00Z,product,0.1,Question about return policy for electronics
TCK-10089,CUST-W10120,west-region,2026-08-20T14:02:00Z,product,-0.6,"Considering cancelling my subscription, service feels slower lately"
